Departamento,region,Población 2024,Agua potable,Cultura y Deporte,Educación,Libre Destinación,Libre Inversión,Salud,Total general,P_Agua potable,P_Cultura y Deporte,P_Educación,P_Libre Destinación,P_Libre Inversión,P_Salud
Amazonas,Amazonía,86318,8722807950,789561817,103146096966,6043198780.0,7180770694,111964695775,237847131982.0,0.03667400938288435,0.003319618825842109,0.4336655065229291,0.025407911079866806,0.030190697000052256,0.4707422571884254
Antioquia,Andina,6903721,387857669881,66248443862,4437850477590,241592033964.0,493989823758,1731045660725,7358584109780.0,0.05270819278473883,0.009002879205247085,0.6030848341723553,0.0328313205855607,0.06713109701382061,0.23524167623827746
Arauca,Orinoquía,317398,31958048323,3303169654,343804333494,21689325046.0,25293961624,155053191019,581102029160.0,0.05499558893159656,0.0056843196000792295,0.5916419427944164,0.037324469641506076,0.0435275740829251,0.2668261049494767
Atlántico,Caribe,2827124,165897400976,23826796275,1849385573845,51966892900.0,153471661124,931108432396,3175656757516.0,0.05224034385434181,0.007502950757700064,0.5823631818734686,0.016364140355221678,0.04832753437876126,0.29320184878050654
Bogotá,Andina,7929539,163597009103,55044930705,3772997778998,0.0,298815338107,1102832472249,5393287529162.0,0.03033344842425255,0.010206192495276213,0.6995728966047249,0.0,0.05540504497327058,0.20448241750247576
Bolívar,Caribe,2264523,204401852284,28535252888,1961182524455,170639182732.0,254717914704,984253697805,3603730424868.0,0.0567195178844397,0.007918254010091559,0.5442089982429348,0.04735070679939948,0.07068173383510783,0.2731207892280267
Boyacá,Andina,1311983,155908310387,25988031513,1307921501699,207929626284.0,281026235099,458723028029,2437496733011.0,0.06396246947761403,0.010661770808159159,0.5365838993693115,0.08530457639922574,0.11529296892712257,0.18819431501856698
Caldas,Andina,1046110,62700397047,9479587554,783661401374,51703388071.0,81182514135,268377722367,1257105010548.0,0.0498768173866935,0.007540808026743635,0.6233857910027616,0.04112893325312684,0.06457894404510467,0.21348870628556973
Caquetá,Amazonía,428162,50034252703,6331908632,490072931427,42689556228.0,60890184844,218689629487,868708463321.0,0.05759613819315542,0.007288876417519454,0.5641396994723546,0.04914140707781456,0.07009277267913554,0.2517411061600203
Casanare,Orinoquía,475144,47892802776,6390391913,451909225864,42938934169.0,61334015669,166894230792,777359601183.0,0.061609585451978546,0.008220638046117891,0.5813387075637534,0.05523689950398084,0.07890044141174918,0.21469372802242015
Cauca,Pacífica,1574506,158007241735,17545829569,1635832063874,100260806506.0,129546477379,637058405456,2678250824519.0,0.058996431659225676,0.006551227169752161,0.6107837432171003,0.03743518179407499,0.04836980770920359,0.2378636084506433
Cesar,Caribe,1395486,116311501666,14146309492,1072458441765,67921267661.0,105187749483,562254357176,1938279627243.0,0.06000759644336816,0.007298384244032759,0.5533042945359024,0.035042037643253206,0.05426861429308761,0.29007907284035583
Chocó,Pacífica,605478,110038480512,16591178289,808665916847,130615629037.0,174218390173,258673612578,1498803207436.0,0.07341756407116491,0.011069617549980093,0.5395410904079818,0.08714661697344772,0.11623833556577123,0.17258677543165424
Córdoba,Caribe,3553293,204137591528,21720931128,1960392493895,113352706333.0,151036929287,814961952388,3265602604559.0,0.0625114615118846,0.006651431223651073,0.600315694003355,0.03471111462697636,0.04625086012490997,0.24955943850922294
Cundinamarca,Andina,1914778,231681167329,36068576347,2111388948702,165495388670.0,307420535319,657687792060,3509742408427.0,0.066010874978382,0.010276701862905446,0.60157946168143,0.047153143852563216,0.08759062618979495,0.18738919143492447
Guainía,Amazonía,57934,8608212072,1311444947,76733386161,9900451019.0,11839024262,64365819336,172758337797.0,0.04982805566302157,0.007591210726633732,0.4441660364385174,0.05730809375252002,0.06852939437233685,0.3725772090469704
Guaviare,Amazonía,100497,13901735029,1751195427,124096362997,14668533695.0,18045447848,55314192295,227777467291.0,0.06103209063800706,0.007688185525229051,0.5448140436053717,0.06439852839464594,0.07922402537273719,0.24284312646400905
Huila,Andina,1192273,95715614430,13045359909,1152006081108,75594567925.0,113296095477,506826597121,1956484315970.0,0.04892224979710375,0.006667755934722266,0.5888143706058027,0.03863796264961172,0.05790800087289697,0.2590496601398626
La Guajira,Caribe,1057252,113965402924,11515748952,1163483945012,53948216095.0,74017764003,540432426178,1957363503164.0,0.05822393374545887,0.005883296042551754,0.5944138342884572,0.02756167467503857,0.03781503225300423,0.27610222899548936
Magdalena,Caribe,1513782,142002946882,17262546987,1500744190959,101176693026.0,142431737062,607978935798,2511597050714.0,0.05653890493366809,0.006873135554165658,0.5975258612970447,0.040283807865293265,0.05670962904718706,0.24206866130264126
Meta,Orinoquía,1145766,87966031353,13635728526,824865727988,65567812255.0,119471912714,374770130374,1486277343210.0,0.05918547554725864,0.00917441727029904,0.5549877563271531,0.04411546240312684,0.08038332365073232,0.25215356480143003
Nariño,Pacífica,1709890,188108372129,24235470518,1663058654004,183706842859.0,237388169377,730447350348,3026944859235.0,0.06214463126247389,0.008006578132422615,0.5494182191426853,0.060690515157064424,0.07842500620807316,0.2413150500972806
Norte de Santander,Andina,1709570,139193939493,19171642495,1332395902660,112544614859.0,165676729640,736415242792,2505398071939.0,0.055557614197920165,0.007652134289447469,0.5318100614761072,0.04492085154831243,0.06612790657724822,0.29393143191096455
