Departamento,region,Excretas inadecuadas,Analfabetismo,Bajo logro educativo,Barreras acceso salud,Primera infancia,Desempleo largo,Hacinamiento crítico,Inasistencia escolar,Paredes inadecuadas,Pisos inadecuados,Rezago escolar,Sin agua mejorada,Sin aseguramiento salud,Trabajo infantil,Trabajo informal,IPM_pct,IPM
Amazonas,Amazonía,0.347,0.048,0.361,0.003,0.09300000000000001,0.09699999999999999,0.143,0.031,0.191,0.032,0.319,0.569,0.042,0.009000000000000001,0.782,18.1,0.18100000000000002
Antioquia,Andina,0.101,0.066,0.351,0.066,0.04,0.15,0.039,0.014,0.018,0.029,0.164,0.068,0.058,0.013,0.63,9.5,0.095
Arauca,Orinoquía,0.094,0.058,0.505,0.022,0.051,0.128,0.07200000000000001,0.031,0.105,0.09699999999999999,0.214,0.05599999999999999,0.105,0.013,0.894,12.7,0.127
Atlántico,Caribe,0.076,0.062,0.272,0.014,0.096,0.094,0.07,0.02,0.008,0.014,0.259,0.015,0.066,0.009000000000000001,0.737,8.2,0.08199999999999999
Bogotá,Andina,0.003,0.011,0.188,0.008,0.058,0.146,0.032,0.006,0.001,0.001,0.152,0.001,0.053,0.004,0.514,2.2,0.022000000000000002
Bolívar,Caribe,0.315,0.111,0.39,0.02,0.052,0.107,0.076,0.025,0.044,0.091,0.229,0.145,0.019,0.011,0.8340000000000001,17.0,0.17
Boyacá,Andina,0.04099999999999999,0.059,0.444,0.04099999999999999,0.038,0.152,0.035,0.009000000000000001,0.005,0.022,0.2,0.048,0.028,0.011,0.762,6.4,0.064
Caldas,Andina,0.061,0.073,0.416,0.027,0.031,0.15,0.025,0.014,0.024,0.003,0.158,0.07,0.03,0.013,0.64,7.9,0.079
Caquetá,Amazonía,0.119,0.071,0.56,0.026,0.049,0.099,0.08,0.04,0.061,0.035,0.271,0.193,0.025,0.028,0.86,15.0,0.15
Casanare,Orinoquía,0.069,0.052,0.4429999999999999,0.006,0.063,0.123,0.075,0.022,0.021,0.025,0.21,0.05,0.058,0.006999999999999999,0.805,8.9,0.08900000000000001
Cauca,Pacífica,0.085,0.08,0.5479999999999999,0.03,0.04,0.125,0.036,0.018,0.036,0.12,0.178,0.164,0.035,0.021,0.883,13.0,0.13
Cesar,Caribe,0.08900000000000001,0.11,0.399,0.004,0.092,0.092,0.127,0.034,0.025,0.08800000000000001,0.254,0.064,0.043,0.023,0.833,14.8,0.14800000000000002
Chocó,Pacífica,0.629,0.19,0.516,0.049,0.049,0.142,0.096,0.04099999999999999,0.152,0.02,0.277,0.609,0.021,0.026,0.8909999999999999,30.8,0.308
Córdoba,Caribe,0.16,0.162,0.499,0.016,0.062,0.129,0.081,0.024,0.033,0.304,0.211,0.167,0.009000000000000001,0.008,0.877,19.8,0.198
Cundinamarca,Andina,0.027,0.024,0.327,0.004,0.055,0.137,0.035,0.016,0.006999999999999999,0.011,0.189,0.022,0.05599999999999999,0.005,0.613,4.1,0.040999999999999995
Guainía,Amazonía,0.602,0.172,0.622,0.022,0.079,0.061,0.212,0.051,0.228,0.405,0.397,0.7190000000000001,0.107,0.023,0.86,51.8,0.518
Guaviare,Amazonía,0.162,0.081,0.524,0.061,0.057,0.078,0.071,0.045,0.09699999999999999,0.063,0.257,0.299,0.077,0.043,0.8270000000000001,20.0,0.2
Huila,Andina,0.023,0.064,0.505,0.004,0.064,0.115,0.05,0.039,0.009000000000000001,0.036,0.219,0.085,0.028,0.031,0.8170000000000001,9.7,0.09699999999999999
La Guajira,Caribe,0.479,0.221,0.568,0.011,0.075,0.091,0.187,0.036,0.063,0.375,0.329,0.453,0.066,0.023,0.9059999999999999,40.1,0.401
Magdalena,Caribe,0.192,0.131,0.494,0.026,0.069,0.101,0.14,0.027,0.022,0.112,0.311,0.104,0.049,0.013,0.8490000000000001,17.6,0.17600000000000002
Meta,Orinoquía,0.08900000000000001,0.058,0.401,0.064,0.052,0.109,0.09300000000000001,0.032,0.021,0.032,0.208,0.162,0.086,0.027,0.762,12.3,0.12300000000000001
Nariño,Pacífica,0.205,0.08800000000000001,0.555,0.067,0.02,0.107,0.052,0.016,0.036,0.018,0.182,0.201,0.023,0.021,0.884,13.2,0.132
Norte de Santander,Andina,0.05599999999999999,0.061,0.454,0.05599999999999999,0.05599999999999999,0.121,0.102,0.04,0.06,0.038,0.256,0.131,0.075,0.021,0.81,13.3,0.133
Putumayo,Amazonía,0.08900000000000001,0.07,0.489,0.051,0.036,0.081,0.042,0.03,0.07400000000000001,0.021,0.177,0.3,0.06,0.029,0.877,13.6,0.136
Quindío,Andina,0.017,0.064,0.404,0.012,0.04,0.155,0.033,0.011,0.018,0.004,0.143,0.024,0.071,0.012,0.6920000000000001,6.7,0.067
Risaralda,Andina,0.027,0.049,0.376,0.003,0.05599999999999999,0.16,0.021,0.01,0.009000000000000001,0.003,0.152,0.027,0.05,0.006999999999999999,0.653,4.9,0.049
San Andrés y Providencia,Insular,0.637,0.006999999999999999,0.255,0.004,0.06,0.085,0.07400000000000001,0.002,0.092,0.006999999999999999,0.18,0.6759999999999999,0.006999999999999999,0.003,0.51,4.3,0.043
Santander,Andina,0.055,0.055,0.389,0.018,0.045,0.112,0.035,0.013,0.019,0.029,0.214,0.07,0.034,0.014,0.687,6.9,0.069
Sucre,Caribe,0.217,0.192,0.508,0.1,0.079,0.115,0.11,0.029,0.042,0.196,0.255,0.081,0.015,0.018,0.877,25.4,0.254
Tolima,Andina,0.049,0.084,0.465,0.058,0.028,0.15,0.04,0.021,0.017,0.036,0.193,0.09,0.039,0.019,0.772,12.2,0.122
Valle del Cauca,Pacífica,0.044,0.032,0.332,0.005,0.057,0.142,0.034,0.013,0.012,0.003,0.197,0.05599999999999999,0.046,0.009000000000000001,0.6629999999999999,4.9,0.049
Vaupés,Amazonía,0.632,0.08,0.586,0.004,0.108,0.099,0.238,0.055,0.256,0.357,0.375,0.7120000000000001,0.015,0.005,0.841,41.7,0.41700000000000004
Vichada,Orinoquía,0.735,0.124,0.7559999999999999,0.05599999999999999,0.08199999999999999,0.121,0.203,0.161,0.128,0.563,0.38,0.583,0.053,0.006,0.941,55.2,0.552
